Week,Sex,Age,Population,Vaccinated, Vaccinated Percent,Vaccinated Lag14,Vaccinated Lag14 Percent,"SARSCoV-
Incidence","SARSCoV-
2
Incidence
all","SARSCoV-
2
Incidence
share","COVID-
19
Fatality","COVID-
19
Fatality
all","COVID-
19
Fatality
share"
15,f,80+,173095,93354,53.93,68853,39.78,106,3073,0.03,14,29,0.48
15,m,15-34,482066,6808,1.41,5599,1.16,985,3085,0.32,0,36,0
15,m,35-59,709197,13774,1.94,10606,1.5,1118,3085,0.36,5,36,0.14
15,m,60-79,438976,12586,2.87,7563,1.72,361,3085,0.12,17,36,0.47
15,m,80+,108937,62691,57.55,45770,42.02,74,3085,0.02,14,36,0.39
16,f,15-34,445412,15525,3.49,10964,2.46,865,2806,0.31,0,22,0
16,f,35-59,709015,41687,5.88,28804,4.06,1020,2806,0.36,0,22,0
16,f,60-79,475567,21538,4.53,12573,2.64,301,2806,0.11,4,22,0.18
16,f,80+,173095,104925,60.62,80729,46.64,86,2806,0.03,18,22,0.82
16,m,15-34,482066,8165,1.69,5753,1.19,933,3115,0.3,0,31,0
16,m,35-59,709197,16888,2.38,10926,1.54,1147,3115,0.37,6,31,0.19
16,m,60-79,438976,15553,3.54,8138,1.85,370,3115,0.12,16,31,0.52
16,m,80+,108937,70408,64.63,53994,49.56,55,3115,0.02,9,31,0.29
17,f,15-34,445412,20232,4.54,12808,2.88,716,2299,0.31,0,18,0
17,f,35-59,709015,54730,7.72,33941,4.79,849,2299,0.37,3,18,0.17
17,f,60-79,475567,29890,6.29,17866,3.76,270,2299,0.12,5,18,0.28
17,f,80+,173095,118209,68.29,93354,53.93,59,2299,0.03,10,18,0.56
17,m,15-34,482066,10536,2.19,6808,1.41,809,2489,0.33,0,23,0
17,m,35-59,709197,23029,3.25,13774,1.94,903,2489,0.36,4,23,0.17
17,m,60-79,438976,22086,5.03,12586,2.87,308,2489,0.12,13,23,0.57
17,m,80+,108937,79178,72.68,62691,57.55,41,2489,0.02,6,23,0.26
18,f,15-34,445412,28538,6.41,15525,3.49,531,1818,0.29,0,18,0
18,f,35-59,709015,76998,10.86,41687,5.88,661,1818,0.36,2,18,0.11
18,f,60-79,475567,46764,9.83,21538,4.53,211,1818,0.12,8,18,0.44
18,f,80+,173095,127425,73.62,104925,60.62,50,1818,0.03,8,18,0.44
18,m,15-34,482066,14185,2.94,8165,1.69,649,1959,0.33,1,19,0.05
18,m,35-59,709197,32358,4.56,16888,2.38,702,1959,0.36,2,19,0.11
18,m,60-79,438976,35993,8.2,15553,3.54,214,1959,0.11,13,19,0.68
18,m,80+,108937,85438,78.43,70408,64.63,37,1959,0.02,3,19,0.16
19,f,15-34,445412,35578,7.99,20232,4.54,426,1358,0.31,0,5,0
19,f,35-59,709015,97268,13.72,54730,7.72,486,1358,0.36,1,5,0.2
19,f,60-79,475567,56194,11.82,29890,6.29,125,1358,0.09,3,5,0.6
19,f,80+,173095,129398,74.76,118209,68.29,29,1358,0.02,1,5,0.2
19,m,15-34,482066,17323,3.59,10536,2.19,451,1411,0.32,0,8,0
19,m,35-59,709197,40253,5.68,23029,3.25,504,1411,0.36,0,8,0
19,m,60-79,438976,43315,9.87,22086,5.03,145,1411,0.1,2,8,0.25
19,m,80+,108937,86723,79.61,79178,72.68,16,1411,0.01,6,8,0.75
20,f,15-34,445412,40794,9.16,28538,6.41,285,924,0.31,0,5,0
20,f,35-59,709015,109656,15.47,76998,10.86,293,924,0.32,0,5,0
20,f,60-79,475567,76124,16.01,46764,9.83,89,924,0.1,4,5,0.8
20,f,80+,173095,130003,75.11,127425,73.62,15,924,0.02,1,5,0.2
20,m,15-34,482066,20859,4.33,14185,2.94,313,961,0.33,0,6,0
20,m,35-59,709197,48893,6.89,32358,4.56,349,961,0.36,2,6,0.33
20,m,60-79,438976,60940,13.88,35993,8.2,94,961,0.1,4,6,0.67
20,m,80+,108937,87051,79.91,85438,78.43,8,961,0.01,0,6,0
